mmsi,dataset,label
1,Training,Purse seine
201851,Test,Longliner
500430,Test,Longliner
773000,Test,Purse seine
23361900,Training,Purse seine
24022380,Training,Purse seine
24593300,Training,Trawler
36764000,Training,Purse seine
111111110,Training,Cargo/Tanker
111111111,Training,Purse seine
123450020,Test,Purse seine
123450800,Training,Purse seine
123456789,Test,Purse seine
200008650,Training,Longliner
203253400,Training,Passenger
203255100,Test,Passenger
203293400,Training,Passenger
203310200,Training,Passenger
203312200,Training,Passenger
203378200,Test,Passenger
203379400,Test,Passenger
203617400,Training,Passenger
203674400,Training,Passenger
203715400,Training,Passenger
203888400,Test,Passenger
204211000,Training,Longliner
204212000,Test,Longliner
204225000,Test,Longliner
204228000,Test,Longliner
204229000,Training,Trawler
204233000,Training,Longliner
204235000,Training,Longliner
204243000,Test,Trawler
204244000,Training,Trawler
204245000,Test,Purse seine
204248000,Test,Purse seine
204257000,Test,Purse seine
204260000,Test,Trawler
204261000,Test,Purse seine
204263000,Test,Trawler
204708000,Test,Cargo/Tanker
204811000,Training,Longliner
204813000,Test,Longliner
204814000,Training,Longliner
204815000,Training,Longliner
204820000,Training,Trawler
204848000,Training,Pots and traps
204856000,Training,Longliner
204862000,Test,Longliner
205001000,Training,Tug/Pilot/Supply
205008600,Training,Cargo/Tanker
205013000,Training,Tug/Pilot/Supply
205017000,Test,Trawler
205026000,Test,Trawler
205029000,Training,Tug/Pilot/Supply
205033000,Training,Passenger
205036000,Training,Tug/Pilot/Supply
205043000,Training,Passenger
205045800,Test,Cargo/Tanker
205051000,Training,Tug/Pilot/Supply
205057000,Training,Tug/Pilot/Supply
205059000,Training,Trawler
205063000,Training,Tug/Pilot/Supply
205065000,Test,Tug/Pilot/Supply
205067000,Test,Tug/Pilot/Supply
205071000,Test,Tug/Pilot/Supply
205074000,Test,Tug/Pilot/Supply
205082000,Training,Tug/Pilot/Supply
205084000,Training,Tug/Pilot/Supply
205086000,Test,Tug/Pilot/Supply
205106000,Training,Trawler
205128000,Training,Trawler
205148000,Training,Trawler
205149000,Training,Trawler
205150000,Training,Trawler
205153000,Training,Trawler
205155000,Training,Trawler
205161000,Test,Trawler
205162000,Test,Trawler
205169000,Training,Trawler
205170000,Test,Trawler
205172000,Training,Tug/Pilot/Supply
205177000,Training,Tug/Pilot/Supply
205181000,Training,Tug/Pilot/Supply
205188000,Test,Tug/Pilot/Supply
205191000,Training,Trawler
205192000,Test,Trawler
205193000,Training,Tug/Pilot/Supply
205197000,Test,Trawler
205198000,Training,Trawler
205199000,Test,Tug/Pilot/Supply
205203390,Training,Tug/Pilot/Supply
205212390,Training,Cargo/Tanker
205226410,Test,Passenger
205227000,Training,Trawler
205229090,Test,Cargo/Tanker
205232000,Training,Trawler
205233000,Training,Tug/Pilot/Supply
205234000,Training,Tug/Pilot/Supply
205236000,Training,Trawler
205237000,Test,Trawler
205237290,Test,Cargo/Tanker
205239000,Training,Trawler
205241000,Training,Trawler
205243000,Test,Trawler
205245890,Training,Cargo/Tanker
205245990,Test,Cargo/Tanker
205246000,Test,Trawler
